fips,county,city,state,sizecat,pop,density,anchor,indoor_st,indoor_end
6075,San Francisco,San Francisco,CA,2,881549,17255,2020-02-01,0001-09-15,0002-05-30
53033,Seattle,Seattle,WA,2,2252782,5175,2020-02-01,0001-09-15,0002-05-30
36061,New York,New York,NY,1,8336817,40306,2020-02-01,0001-09-15,0002-05-30
39035,Cuyahoga,Cleveland,OH,2,1235072,3063,2020-02-01,0001-09-15,0002-05-30
48113,Dallas,Dallas,TX,2,2635516,4000,2020-02-01,0001-09-15,0002-05-30
39151,Stark,Canton,OH,3,370606,1688,2020-02-01,0001-09-15,0002-05-30
34013,Essex,Newark,NJ,3,798975,6396,2020-02-01,0001-09-15,0002-05-30
13089,DeKalb,Atlanta,GA,2,1063937,2708,2020-02-01,0001-09-15,0002-05-30
17167,Sangamon,Springfield,IL,3,194672,1747,2020-02-01,0001-09-15,0002-05-30
38015,Burleigh,Bismarck,ND,3,95626,2157,2020-02-01,0001-09-15,0002-05-30
4013,Maricopa,Phoenix,AZ,1,4485414,2798,2020-03-01,0001-09-15,0002-05-30
42003,Allegheny,Pittsburgh,PA,2,1216045,5461,2020-02-01,0001-09-15,0002-05-30
27053,Hennepin,Minneapolis,MN,2,1265843,7821,2020-02-01,0001-09-15,0002-05-30
31055,Douglas,Omaha,NE,2,571327,3378,2020-02-01,0001-09-15,0002-05-30
8031,Denver,Denver,CO,2,727211,4520,2020-02-01,0001-09-15,0002-05-30
